id,account_id,month,aop_amount
2648,854670157863,2024-11-01,0.0
2649,854670157863,2024-12-01,0.0
2650,854670157863,2025-01-01,0.0
2651,854670157863,2025-02-01,0.0
2652,854670157863,2025-03-01,0.0
2677,875620713396,2024-04-01,0.0
2678,875620713396,2024-05-01,0.0
2679,875620713396,2024-06-01,0.0
2680,875620713396,2024-07-01,0.0
2681,875620713396,2024-08-01,0.0
2682,875620713396,2024-09-01,0.0
2683,875620713396,2024-10-01,0.0
2684,875620713396,2024-11-01,0.0
2685,875620713396,2024-12-01,0.0
2686,875620713396,2025-01-01,0.0
2687,875620713396,2025-02-01,0.0
2688,875620713396,2025-03-01,0.0
2689,876285361116,2024-04-01,0.0
2690,876285361116,2024-05-01,0.0
2691,876285361116,2024-06-01,0.0
2692,876285361116,2024-07-01,0.0
2693,876285361116,2024-08-01,0.0
2694,876285361116,2024-09-01,0.0
2695,876285361116,2024-10-01,0.0
2696,876285361116,2024-11-01,0.0
2697,876285361116,2024-12-01,0.0
2698,876285361116,2025-01-01,0.0
2699,876285361116,2025-02-01,0.0
2700,876285361116,2025-03-01,0.0
2749,905418240150,2024-04-01,0.0
2750,905418240150,2024-05-01,0.0
2751,905418240150,2024-06-01,0.0
2752,905418240150,2024-07-01,0.0
2753,905418240150,2024-08-01,0.0
2754,905418240150,2024-09-01,0.0
2755,905418240150,2024-10-01,0.0
2756,905418240150,2024-11-01,0.0
2757,905418240150,2024-12-01,0.0
2758,905418240150,2025-01-01,0.0
2759,905418240150,2025-02-01,0.0
2760,905418240150,2025-03-01,0.0
2845,950209104383,2024-04-01,0.0
2846,950209104383,2024-05-01,0.0
2847,950209104383,2024-06-01,0.0
2848,950209104383,2024-07-01,0.0
2849,950209104383,2024-08-01,0.0
2850,950209104383,2024-09-01,0.0
2851,950209104383,2024-10-01,0.0
2852,950209104383,2024-11-01,0.0
2853,950209104383,2024-12-01,0.0
2854,950209104383,2025-01-01,0.0
2855,950209104383,2025-02-01,0.0
2856,950209104383,2025-03-01,0.0
2869,954976288980,2024-04-01,0.0
2870,954976288980,2024-05-01,0.0
2871,954976288980,2024-06-01,0.0
2872,954976288980,2024-07-01,0.0
2873,954976288980,2024-08-01,0.0
2874,954976288980,2024-09-01,0.0
2875,954976288980,2024-10-01,0.0
2876,954976288980,2024-11-01,0.0
2877,954976288980,2024-12-01,0.0
