id,account_id,month,spend,service_type
2020,767397827620,2024-07-01,1300.0,compute
2021,767397827620,2024-08-01,1300.0,compute
2022,767397827620,2024-09-01,1700.0,compute
2023,767397827620,2024-10-01,1600.0,compute
2024,767397827620,2024-11-01,1600.0,compute
2025,767397827620,2024-12-01,2000.0,compute
2026,767397827620,2025-01-01,2000.0,compute
2027,767397827620,2025-02-01,2000.0,compute
2028,767397827620,2025-03-01,2000.0,compute
2029,767397877262,2024-04-01,100.0,compute
2030,767397877262,2024-05-01,300.0,compute
2031,767397877262,2024-06-01,300.0,compute
2032,767397877262,2024-07-01,400.0,compute
2033,767397877262,2024-08-01,400.0,compute
2034,767397877262,2024-09-01,400.0,compute
2035,767397877262,2024-10-01,400.0,compute
2036,767397877262,2024-11-01,400.0,compute
2037,767397877262,2024-12-01,400.0,compute
2038,767397877262,2025-01-01,400.0,compute
2039,767397877262,2025-02-01,400.0,compute
2040,767397877262,2025-03-01,400.0,compute
2041,767397937234,2024-04-01,71000.0,compute
2042,767397937234,2024-05-01,72700.0,compute
2043,767397937234,2024-06-01,67100.0,compute
2044,767397937234,2024-07-01,71900.0,compute
2045,767397937234,2024-08-01,71500.0,compute
2046,767397937234,2024-09-01,71500.0,compute
2047,767397937234,2024-10-01,74400.0,compute
2048,767397937234,2024-11-01,73900.0,compute
2049,767397937234,2024-12-01,76900.0,compute
2050,767397937234,2025-01-01,119400.0,compute
2051,767397937234,2025-02-01,122600.0,compute
2052,767397937234,2025-03-01,91000.0,compute
2053,767398050080,2024-04-01,0.0,compute
2054,767398050080,2024-05-01,0.0,compute
2055,767398050080,2024-06-01,62100.0,compute
2056,767398050080,2024-07-01,224600.0,compute
2057,767398050080,2024-08-01,241700.0,compute
2058,767398050080,2024-09-01,221800.0,compute
2059,767398050080,2024-10-01,231300.0,compute
2060,767398050080,2024-11-01,234200.0,compute
2061,767398050080,2024-12-01,237700.0,compute
2062,767398050080,2025-01-01,241300.0,compute
2063,767398050080,2025-02-01,244900.0,compute
2064,767398050080,2025-03-01,248600.0,compute
2113,807119641913,2024-04-01,800.0,compute
2114,807119641913,2024-05-01,900.0,compute
