"Service","EC2-Other($)","EC2-Instances($)","Elastic Load Balancing($)","S3($)","Elastic MapReduce($)","Elastic Container Service for Kubernetes($)","Managed Streaming for Apache Kafka($)","VPC($)","Route 53($)","EC2 Container Registry (ECR)($)","GuardDuty($)","CloudWatch($)","QuickSight($)","Key Management Service($)","Cost Explorer($)","Service Catalog($)","API Gateway($)","Secrets Manager($)","SNS($)","Lambda($)","DynamoDB($)","Glacier($)","Step Functions($)","SQS($)","Simple Workflow Service($)","CloudShell($)","CloudTrail($)","Glue($)","CloudWatch Events($)","X-Ray($)","CloudFormation($)","Total costs($)"
"2024-05-28","983.492945139","1002.5368091216","73.5314774583","49.837167874","19.5757014108","16.8","15.5873879395","14.3713002473","13.4859664","6.6079520628","","2.9025340656","1.548387072","0.205179384","0.11","0","0.0015021668","0.00189","0.0000265269","0.0000142098","0.00003933","0.0000032253","0.0000003486","0.000000644","0.0000006112","","0","0","0","","","2200.5962852375"
"2024-05-29","985.5996732773","993.4620461943","73.5775862364","49.9066382532","20.2081994628","16.8","15.5870226391","14.0738536348","13.5590688","6.6429920189","","3.2594966184","1.548387072","0.205419384","0.13","0","0.0015723538","0.0018","0.0000276504","0.0000143753","0.000051585","0.0000029719","0.0000003622","0.0000006118","0.0000006698","","0","0","0","","","2194.5638541714"
"2024-05-30","984.5283780424","1000.147054462","76.281348506","49.9432248822","20.6800020324","16.8","15.5906340676","14.1273014442","13.5969636","6.7011949295","","2.9348644983","1.548387072","0.205506384","0.06","0","0.0015372569","0.00189","0.0000265076","0.0000150617","0.0000434625","0.0000029507","0.0000003456","0.0000008372","0.0000006404","","0","0","0","","","2203.1483769832"
"2024-05-31","1011.1937817474","1009.5884048525","88.7932798598","50.2757074761","19.8625985304","16.8","15.6034282888","14.033033896","13.8037088","6.7872711077","","2.9189873822","1.548387072","0.205584384","0.16","0","0.0015688492","0.00181","0.0000287052","0.0000155122","0.0000537225","0.0000029358","0.000000332","0.0000007406","0.0000006113","","0","0","0","","","2251.5776548057"
"2024-06-01","1033.7532631165","998.0630961375","35.038509211","53.0686647292","20.2440935148","16.8","15.6498874048","13.9638493264","19.511262","7.0590704366","","2.428244365","1.6000000128","0.2044280016","0.06","0","0.0012891051","0.00189","0.0000436122","0.0000130511","0.0000768075","0.000002988","0.0000003446","0.0000006762","0.0000006115","","0","0","0","","","2217.4476854524"
"2024-06-02","1030.4956521422","999.8105474748","52.5201513756","53.2937304291","22.191189294","16.8","15.6505476445","13.9437202795","13.3594804","7.0633241784","","2.627739278","1.6000000128","0.2063210016","0.06","0","0.001334766","0.00207","0.0000320988","0.0000153933","0.00005472","0.0000029354","0.0000003456","0.0000007406","0.0000005822","","0","0","0","","","2229.6259150924"
"2024-06-03","1032.8044654916","1003.4274473432","58.779179536","53.8318389133","19.6600972008","16.8","15.6543663602","14.0843758877","13.5675228","7.0825445805","","2.6379836753","1.6000000128","0.2122790016","0.45","0","0.001527941","0.00171","0.0000458108","0.0000133942","0.0000705375","0.0000029634","0.0000002158","0.0000007728","0.0000005238","","0","0","0","","","2240.5954729623"
"2024-06-04","1026.6049384106","1003.569258087","63.9329636107","53.6907901492","20.3947707348","16.8","15.6539229849","14.1790299142","13.6058788","7.1144390122","","2.6386580358","1.6000000128","0.2104100016","0.08","0","0.0013769053","0.00135","0.0000518985","0.0000158685","0.0000619875","0.00000273","0.0000003466","0.0000006118","0.0000006405","","0","0","0","","","2240.0779207425"
"2024-06-05","1058.0589126086","1000.7005821079","72.3979601237","53.9536804017","20.5739892036","16.8","15.6555061448","14.0691155777","13.635742","7.1531680738","","2.6608416304","1.6000000128","0.2126150016","0.06","0","0.0013066473","0.0018","0.0000517666","0.000010625","0.0000957334","0.0000025512","0.0000003632","0.0000006762","0.0000006405","","0","0","0","0","","2277.53538189"
"2024-06-06","1043.2778974057","993.4116522358","69.8017161796","50.5649555647","19.0903599288","16.8","15.6541184428","14.2378006623","13.5224824588","7.2350127546","","2.6768630301","1.6000000128","0.2110820016","0.21","0","0.0015068611","0.00153","0.0000444585","0.0000190428","0.0000840503","0.0000028403","0.00000033","0.0000006118","0.0000005529","","0","0","0","","","2248.2971294253"
