"Service","EC2-Instances($)","EC2-Other($)","VPC($)","CloudWatch($)","ElastiCache($)","OpenSearch Service($)","Elastic Load Balancing($)","S3($)","Secrets Manager($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","EC2 Container Registry (ECR)($)","Key Management Service($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Lambda($)","SNS($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-12-23","12.6648235661","9.0250875443","13.1799721859","9.2580077194","1.9681583604","","1.729153539","1.9938042865","0.6223148384","","0.0000000701","0.1299677304","0.034979064","","","0.0035","","0.0000535","0.0000044","0.0000014349","0.0000015052","0","0","","50.6098297446"
"2024-12-24","13.7952190221","9.0278496028","13.179965421","9.1993177194","1.9681586154","","1.7286698474","1.4727174164","0.6220698384","","0.0000000714","0.1299677304","0.034907064","0.01","","0.0035","","0.00005","0.0000044","0.0000019128","0.0000020066","0","0","","51.1724006681"
"2024-12-25","12.6647962333","9.0113508696","13.179975654","9.1993177194","1.9681595656","","1.7272686472","1.3975879764","0.6223148384","","0.0000000714","0.1299677304","0.034931064","0.01","","0.0035","","0.0000465","0.0000044","0.0000014349","0.0000017542","0","0","","49.9492244588"
"2024-12-26","12.6648125386","9.0386158881","13.179991539","9.1993177194","1.9681599296","","1.7279974862","0.4053816603","0.6218248384","","0.0000000701","0.1299677304","0.034955064","0.01","","0.0035","","0.00005","0.0000036","0.0000014349","0.0000015057","0","0","","48.9845810047"
"2024-12-27","12.6648026109","9.045113792","13.1800157652","9.1993177194","1.9681600198","","1.7280903111","2.559736369","0.6220698384","","0.0000000714","0.1299677304","0.034931064","0.01","","0.0035","","0.000045","0.000004","0.0000014349","0.0000017591","0","0","","51.1457574856"
"2024-12-28","12.6648036854","9.0392483105","13.180040763","9.1993223718","1.9681606592","","1.7276051508","1.4980762421","0.6223148384","","0.0000000714","0.1299677304","0.034907064","0.01","","0.0042","0.0000070583","0.0000512038","0.0000044","0.0000019128","0.0000017542","0","0","","50.0787132161"
"2024-12-29","12.664796424","9.0222414312","13.1799745889","9.1993307347","1.9681610204","","1.7269696137","1.2240593086","0.6218248384","","0.0000000714","0.1299677304","0.034931064","","","0.0035","0.0000254397","0.0000530095","0.000004","0.0000014349","0.0000017591","0","0","","49.7758424689"
"2024-12-30","12.6648153614","9.0658934262","13.1800125058","9.1993177318","1.9681608384","","1.7292349851","1.1003253044","0.6223148384","","0.0000000714","0.1299677304","0.034955064","0.01","","0.0028","","0.0000485","0.0000044","0.0000014349","0.0000015057","0","0","","49.7078536979"
"2024-12-31","14.1719818381","9.0669597994","13.1800189895","9.1993177318","1.9681609626","","1.7293323857","1.4911361877","0.6220698384","","0.0000000714","0.1299677304","0.034931064","0.01","","0.0035","","0.00005","0.000004","0.0000019128","0.0000017542","0","0","","51.607434266"
"2025-01-01","14.3367933309","9.0511003057","13.1800110884","9.1993177318","1.96816146","","1.7277756046","1.3862036094","0.6215798384","","0","0.1299677304","0.032615064","0.02","0.2","0","","0","0.0000036","0.0000014349","0.0000015057","0","0","","51.8535323042"
