"Service","EC2-Instances($)","EC2-Other($)","Elastic MapReduce($)","ElastiCache($)","Relational Database Service($)","S3($)","CloudWatch($)","VPC($)","Elastic Load Balancing($)","Route 53($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","EC2 Container Registry (ECR)($)","Key Management Service($)","Secrets Manager($)","Cost Explorer($)","Service Catalog($)","SQS($)","Lambda($)","SNS($)","Simple Workflow Service($)","Step Functions($)","Systems Manager($)","CodeArtifact($)","CloudShell($)","CloudTrail($)","Glue($)","X-Ray($)","CloudFormation($)","Total costs($)"
"2024-06-04","1072.5277408822","702.0290021977","187.0711599792","40.5567556632","56.2530053465","11.3103649871","8.9668949429","12.3366044038","8.1796841248","9.6191488","4.8","1.3795127895","0.4421403128","0.3126300024","0.1622350008","0.01","0","0.0001588","0.0000113938","0.0000004386","0.0000019128","0.0000010136","0","0","","0","0","","","2115.9570529917"
"2024-06-05","1152.5544500598","713.2274388906","243.674883536","40.5567773122","56.2710532306","11.4825657035","9.4962134941","12.2691859094","8.5532883578","9.413014","4.8","1.4789763959","0.4427272689","0.3095340024","0.1705783333","0.01","0","0.0000756","0.0000080124","0.0000002169","0.0000014349","0.0000007602","","0","","0","0","","","2264.7107725189"
"2024-06-06","1152.8472925658","712.0738330156","247.1616","40.5570240184","56.3178814117","11.7807091303","8.9602356005","12.2490231755","8.7187287626","9.4240532","4.8","1.476712084","0.4462403702","0.3100200024","0.1754833328","0.01","0","0.000036","0.0000055042","0","0.0000019128","0.0000010136","","0","","0","0","","","2267.3088811004"
"2024-06-07","1152.3833084465","712.228089439","247.1616","40.557137163","56.3575749709","12.1867417781","9.2950638556","12.2476470064","8.7509259125","9.5007267838","4.8","1.4768158631","0.4510366243","0.3097470024","0.1755533328","0.01","0","0.0000424","0.0000058083","0","0.0000014349","0.0000010136","","0","","0","0","","","2267.8920188352"
"2024-06-08","1152.8513402208","711.4417362246","247.1616","40.5573451224","56.3957493824","12.440595445","8.9641041698","12.2412245395","8.6979879453","9.445368","4.8","1.4767373207","0.4518252096","0.3083970024","0.1754833328","0.01","0","0.000036","0.0000059083","0","0.0000014349","0.0000007602","","0","","0","0","","","2267.4195380187"
"2024-06-09","1152.6631678364","710.8034247533","247.1616","40.5573810964","56.4321903983","12.7429527308","9.2914430128","12.242933735","8.652247494","9.4461632","4.8","1.4767684049","0.4518252096","0.3094770024","0.1754133328","","0","0.00004","0.0000058417","0","0.0000019128","0.0000010136","","0","","0","0","","","2267.2070369748"
"2024-06-10","1152.9289039212","711.0386685618","247.1616","40.5577768104","56.4692717967","13.0849143853","8.964970895","12.3221215586","8.691925099","9.448216","4.8","1.4776344826","0.4536201659","0.3096360024","0.1756933328","0.01","0","0.0000628","0.0000062","0","0.0000019128","0.0000007602","","0","","0","0","","","2267.8950246847"
"2024-06-11","1168.396290888","722.1126000155","254.7216","40.5577768104","84.884752113","13.4392441865","8.9961423796","12.2529060221","8.7555602959","9.4509856","4.8","1.4778573108","0.4581699404","0.3088110024","0.1833561112","0.01","0","0.0000884","0.0000120896","0.0000004256","0.0000014349","0.0000010136","","0","","0","0","","","2330.8061560395"
"2024-06-12","1175.2974428414","727.2442070245","259.2576","40.5578295394","103.6166754068","13.8416488918","9.0916443404","12.2474881315","8.7416722529","9.4494572","4.8","1.47915892","0.4696524416","0.3098490024","0.1888266672","0.01","0","0.0000992","0.0000057084","0","0.0000019128","0.0000007602","","0","","0","0","","","2366.6032602413"
"2024-06-13","1175.2401977373","726.5699453623","259.2576","40.5584827758","103.6166753899","14.1699205497","9.0678476189","12.2523828717","8.7446186229","9.450912","4.8","1.476740321","0.4802365654","0.3099810024","0.1889016672","0.01","0","0.0000364","0.00000605","0","0.0000014349","0.0000010136","","0","","0","0","","","2366.194487383"
"2024-06-14","1134.8599225545","727.0510679615","234.08732928","40.5593286608","103.6166751079","14.4156089716","9.0201214095","12.2497486425","8.6995078173","9.4453836","4.8","1.4768787204","0.4827577586","0.3093240024","0.1883766672","0.01","0","0.0000348","0.0000062542","0","0.0000014349","0.0000007602","","0","","0","0","","","2301.2720744035"
