"Service","EC2-Instances($)","EC2-Other($)","VPC($)","Relational Database Service($)","S3($)","Elastic Container Service for Kubernetes($)","Elastic Load Balancing($)","CloudWatch($)","SQS($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","SNS($)","Cost Explorer($)","Service Catalog($)","Route 53($)","DynamoDB($)","Key Management Service($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","SES($)","Lambda($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-05-30","56.4208594537","11.7064011297","5.186019117","5.9526431058","0.8575196798","2.4","0.5738421662","1.1870974858","0.12429","0.0921823648","0.0747723","0","0.01","0.0014","0.0005252","0.0213120504","0.002829","0.00000027","0.0000006264","0.000002848","","","0","0","","84.6116967976"
"2024-05-31","58.0681288655","34.1537379071","5.1895157173","5.1744330878","2.958501914","2.4","0.5738493244","1.1858879632","0.5245608","0.0946729024","0.0747723","0","0.01","0.0014","0.0002892","0.0213120504","0.002346","0.000000312","0.0000005481","0.0000028742","","","0","0","","110.4334117664"
"2024-06-01","59.3280913533","25.3546411017","5.1852954948","4.932644256","1.0051266835","2.4","0.5737494644","1.2266673724","0.000112","0.0952933328","0.0772647096","0","0.01","0","0.2001256","0.0213120528","0.002178","0.000000298","0.0000006003","0.0000028244","","","0","0","","100.412505144"
"2024-06-02","60.0566546141","11.0739671251","5.1852362339","4.8513390909","0.498206448","2.4","0.5736290223","1.2266673724","0.0008728","0.0961583328","0.0772647096","0","0.01","0","0.0063272","0.0213120528","0.002706","0.000000343","0.0000006786","0.0000029274","","","0","0","","86.0803449509"
"2024-06-03","60.0567791122","36.9646619787","6.3856829728","5.1705859308","3.8493617501","2.4","0.5738374239","1.2266674535","0.7117272","0.0962383328","0.0772647096","0","0.01","0","0.000126","0.0213120538","0.002706","0.000000284","0.0000004959","0.0000029296","","","0","0","","117.5469546277"
"2024-06-04","59.1798563691","16.5042372602","8.0658053298","4.9074525085","0.8384547248","2.4","0.5737320596","1.2266673725","0.0014084","0.0951433328","0.0772647096","0","0.01","0","0.0000708","0.0213120552","0.00231","0.000000266","0.0000004176","0.0000027263","","","0","0","","93.903718332"
"2024-06-05","59.782611695","11.0488186304","8.0656547552","4.8445510929","0.780646124","2.4","0.5737127555","1.2266680864","0.0003148","0.0951683328","0.0772647096","0","0.01","0","0.000084","0.0213120552","0.002184","0.000000312","0.0000004959","0.0000024638","","","0","0","","88.9289943087"
"2024-06-06","61.116824705","11.0205788322","8.0660537073","4.8441309398","0.7102088179","2.4","0.5737407186","1.2266674546","0.0001184","0.0946733328","0.0772647096","0","","0","0.0000912","0.0213120552","0.002508","0.000000284","0.0000004959","0.0000029286","","","0","0","","90.1541765815"
"2024-06-07","62.0735549913","11.0214914957","8.0660904176","4.8912121782","0.6382688664","2.4","0.5738195415","1.226671215","0.0001124","0.0949383328","0.0772647096","0","0.01","0","0.0001856","0.0213120552","0.002394","0.000000285","0.0000004176","0.0000028993","","","0","0","","91.0973194052"
"2024-06-08","62.2173301411","11.0205389408","8.0654253101","4.842849981","0.6383934156","2.4","0.5736227555","1.2266674569","0.0001012","0.0949833328","0.0772647096","0","0.01","0","0.0000208","0.0213120552","0.002376","0.000000254","0.0000004959","0.000002891","","","0","0","","91.1908897395"
