service_id,service_type,month,spend
35,VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG),2025-01-01,1607.04
35,VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG),2025-02-01,1451.52
35,VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG),2025-03-01,1607.04
36,GuardDuty,2024-04-01,0.0513
36,GuardDuty,2024-05-01,75.2518
36,GuardDuty,2024-06-01,1971.515
36,GuardDuty,2024-07-01,1906.4754
36,GuardDuty,2024-08-01,1765.2367
36,GuardDuty,2024-09-01,1666.8273
36,GuardDuty,2024-10-01,1716.8431
36,GuardDuty,2024-11-01,1702.0304
36,GuardDuty,2024-12-01,1766.0729
36,GuardDuty,2025-01-01,1756.3304
36,GuardDuty,2025-02-01,1648.217
36,GuardDuty,2025-03-01,1768.4952
37,WorkSpaces,2024-04-01,3241.8372
37,WorkSpaces,2024-05-01,968.9415
37,WorkSpaces,2024-06-01,981.4
37,WorkSpaces,2024-07-01,1113.22
37,WorkSpaces,2024-08-01,1326.6511
37,WorkSpaces,2024-09-01,1451.7152
37,WorkSpaces,2024-10-01,1144.72
37,WorkSpaces,2024-11-01,1574.7432
37,WorkSpaces,2024-12-01,2105.6731
37,WorkSpaces,2025-01-01,1202.91
37,WorkSpaces,2025-02-01,1130.16
37,WorkSpaces,2025-03-01,1016.6572
38,Systems Manager,2024-04-01,0.0611
38,Systems Manager,2024-05-01,0.062
38,Systems Manager,2024-06-01,0.0569
38,Systems Manager,2024-07-01,0.0646
38,Systems Manager,2024-08-01,0.0664
38,Systems Manager,2024-09-01,0.0582
38,Systems Manager,2024-10-01,0.0632
38,Systems Manager,2024-11-01,1402.5554
38,Systems Manager,2024-12-01,2491.6907
38,Systems Manager,2025-01-01,2656.6537
38,Systems Manager,2025-02-01,3222.0518
38,Systems Manager,2025-03-01,3401.5248
39,Cost Explorer,2024-04-01,1174.3658
39,Cost Explorer,2024-05-01,977.8502
39,Cost Explorer,2024-06-01,986.6574
39,Cost Explorer,2024-07-01,1144.0514
39,Cost Explorer,2024-08-01,908.4619
39,Cost Explorer,2024-09-01,1008.6367
39,Cost Explorer,2024-10-01,1003.3962
